dispatch_id,donor_id,request_id,dispatched_at,target,is_exact_blood_match,is_blood_compatible,is_universal_donor,donor_is_verified,donor_is_eligible,donor_is_available,donor_response_rate,donor_history_count,donor_positive_responses,days_since_last_donation,dispatch_hour,dispatch_day_of_week,is_weekend,is_night_dispatch,is_business_hours,requested_quantity,urgency_level,is_resource_blood
369a90f4-0cb6-40f4-8c4b-b9908dbff5aa,ff447bf1-e688-4eb7-ba18-cdcef5b86e01,9cf117b1-98e0-4f6a-bc35-125afcbd3247,2025-01-01T06:45:00,1,0,0,0,1,1,1,0.0,0,0,162.0,6,2,0,0,0,3.0,2,1
5e45fb7f-bc38-4a40-9b4c-036123bce028,b31f3223-35d1-446c-9991-79665d0b1ef3,9cf117b1-98e0-4f6a-bc35-125afcbd3247,2025-01-01T06:45:00,1,0,0,0,1,1,1,0.0,0,0,57.0,6,2,0,0,0,3.0,2,1
326f3d1f-a745-43a3-83a7-bb427bb6e4da,af32b242-6347-4914-8703-8bc3222ac8c4,9cf117b1-98e0-4f6a-bc35-125afcbd3247,2025-01-01T06:47:00,0,0,0,0,1,1,1,0.0,0,0,81.0,6,2,0,0,0,3.0,2,1
9210bc1f-3c4f-42f6-a5fb-ee44d4335bed,b7e02dd5-bc57-4ce1-89ca-6341da919a60,9cf117b1-98e0-4f6a-bc35-125afcbd3247,2025-01-01T06:51:00,0,0,0,0,1,1,1,0.0,0,0,365.0,6,2,0,0,0,3.0,2,1
d43bf1a4-0ab0-47c9-8619-45b31955e70d,d2fbf799-2a03-4408-8c26-4fc239c5d4fc,9cf117b1-98e0-4f6a-bc35-125afcbd3247,2025-01-01T06:54:00,1,0,0,0,1,0,1,0.0,0,0,116.0,6,2,0,0,0,3.0,2,1
9a016dbe-c2a8-4369-a609-7114bc56b875,15e8b88b-3071-48e6-b989-88d3d4c35e68,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,2025-01-01T12:51:00,1,0,1,0,1,1,1,0.0,0,0,33.0,12,2,0,0,1,2.0,1,1
59baf519-3452-44a0-a325-27c803417c1b,03eeb252-1e41-4f67-91f0-687b64393568,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,2025-01-01T12:53:00,1,0,0,0,1,1,1,0.0,0,0,89.0,12,2,0,0,1,2.0,1,1
a8142a38-2a40-4b18-a7c1-e8cf08b569e6,3e6e3033-9a9c-4988-9e45-362e43ee98e6,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,2025-01-01T12:54:00,1,0,1,1,1,1,1,0.0,0,0,597.0,12,2,0,0,1,2.0,1,1
0ffb8e9a-0d44-4be3-bf0a-bbca6939bd2b,a88bf6b5-168a-42ee-bea7-b40defa21e24,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,2025-01-01T12:56:00,1,0,0,0,1,1,1,0.0,0,0,38.0,12,2,0,0,1,2.0,1,1
de494bc0-87df-4fa0-b6df-d2cd12ba22da,5a9cd770-f74a-4cdd-87d0-646aa0e13b89,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,2025-01-01T12:57:00,0,0,0,0,1,1,1,0.0,0,0,154.0,12,2,0,0,1,2.0,1,1
fcc77817-2885-4bfc-a532-0f6f156201dc,2e3af94c-8ff5-4a35-ac8a-571d4fa070d4,ee6477d0-9a54-4544-8e63-e6bff0cf3c87,2025-01-01T21:41:00,1,0,0,0,1,1,1,0.0,0,0,365.0,21,2,0,0,0,2.0,2,1
88f3bfe4-a3ef-4ba6-8c93-900ef89e2484,d6b5ae43-d86a-4b5f-abd6-b4e06091ee44,ee6477d0-9a54-4544-8e63-e6bff0cf3c87,2025-01-01T21:44:00,1,0,1,0,1,1,1,0.0,0,0,433.0,21,2,0,0,0,2.0,2,1
5711f813-2ca3-40d8-b77a-c8c0f3d1a873,643a2cfd-c940-4060-89e8-05b38ecebd84,ee6477d0-9a54-4544-8e63-e6bff0cf3c87,2025-01-01T21:47:00,1,0,1,0,1,1,1,0.0,0,0,124.0,21,2,0,0,0,2.0,2,1
088935aa-8920-4087-8577-b1a90eaea7f1,9f966f0d-58e3-4b25-ab78-8fe097b30675,aa3cda02-f1e4-4498-9124-3820051ae716,2025-01-01T22:02:00,1,1,1,0,1,1,1,0.0,0,0,85.0,22,2,0,1,0,4.0,1,0
5b64567d-fa5a-4ab4-bb6f-cb69bd4f3878,0f830c26-3d4f-4cf5-81cf-08041535d161,aa3cda02-f1e4-4498-9124-3820051ae716,2025-01-01T22:02:00,1,1,1,0,1,0,1,0.0,0,0,95.0,22,2,0,1,0,4.0,1,0
a03f211b-2a3b-4be3-97e6-d47060757d6f,6a793798-198b-46b9-85cd-0ec03d79cc88,aa3cda02-f1e4-4498-9124-3820051ae716,2025-01-01T22:10:00,1,0,1,0,1,1,1,0.0,0,0,76.0,22,2,0,1,0,4.0,1,0
