id,request_id,donor_id,status,dispatched_at,responded_at,accepted_at,completed_at,created_at
369a90f4-0cb6-40f4-8c4b-b9908dbff5aa,9cf117b1-98e0-4f6a-bc35-125afcbd3247,ff447bf1-e688-4eb7-ba18-cdcef5b86e01,COMPLETED,2025-01-01T06:45:00,2025-01-01T06:54:00,2025-01-01T06:54:00,2025-01-01T09:45:00,2025-01-01T06:45:00
5e45fb7f-bc38-4a40-9b4c-036123bce028,9cf117b1-98e0-4f6a-bc35-125afcbd3247,b31f3223-35d1-446c-9991-79665d0b1ef3,COMPLETED,2025-01-01T06:45:00,2025-01-01T06:52:00,2025-01-01T06:52:00,2025-01-01T09:45:00,2025-01-01T06:45:00
326f3d1f-a745-43a3-83a7-bb427bb6e4da,9cf117b1-98e0-4f6a-bc35-125afcbd3247,af32b242-6347-4914-8703-8bc3222ac8c4,EXPIRED,2025-01-01T06:47:00,,,,2025-01-01T06:47:00
9210bc1f-3c4f-42f6-a5fb-ee44d4335bed,9cf117b1-98e0-4f6a-bc35-125afcbd3247,b7e02dd5-bc57-4ce1-89ca-6341da919a60,EXPIRED,2025-01-01T06:51:00,,,,2025-01-01T06:51:00
d43bf1a4-0ab0-47c9-8619-45b31955e70d,9cf117b1-98e0-4f6a-bc35-125afcbd3247,d2fbf799-2a03-4408-8c26-4fc239c5d4fc,ACCEPTED,2025-01-01T06:54:00,2025-01-01T06:56:00,2025-01-01T06:56:00,,2025-01-01T06:54:00
9a016dbe-c2a8-4369-a609-7114bc56b875,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,15e8b88b-3071-48e6-b989-88d3d4c35e68,COMPLETED,2025-01-01T12:51:00,2025-01-01T13:03:00,2025-01-01T13:03:00,2025-01-01T13:51:00,2025-01-01T12:51:00
59baf519-3452-44a0-a325-27c803417c1b,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,03eeb252-1e41-4f67-91f0-687b64393568,ACCEPTED,2025-01-01T12:53:00,2025-01-01T13:02:00,2025-01-01T13:02:00,,2025-01-01T12:53:00
a8142a38-2a40-4b18-a7c1-e8cf08b569e6,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,3e6e3033-9a9c-4988-9e45-362e43ee98e6,ACCEPTED,2025-01-01T12:54:00,2025-01-01T13:00:00,2025-01-01T13:00:00,,2025-01-01T12:54:00
0ffb8e9a-0d44-4be3-bf0a-bbca6939bd2b,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,a88bf6b5-168a-42ee-bea7-b40defa21e24,COMPLETED,2025-01-01T12:56:00,2025-01-01T13:10:00,2025-01-01T13:10:00,2025-01-01T15:56:00,2025-01-01T12:56:00
de494bc0-87df-4fa0-b6df-d2cd12ba22da,b5ae8967-7805-4a1d-bc10-8e2b8a2f25f6,5a9cd770-f74a-4cdd-87d0-646aa0e13b89,MISSED,2025-01-01T12:57:00,,,,2025-01-01T12:57:00
